怡海星城,［天心区-暮云］高云路6号
丽发新城,［天心区-暮云］万家丽南路,近金海路
中建江山壹号,［天心区-书院路］湘江中路,近橘洲湾路
和美星城,［天心区-暮云］芙蓉南路四段977号
保利国际广场,［天心区-书院路］书院路9号
中建芙蓉嘉苑,［天心区-友阿奥特莱斯］芙蓉南路二段229号
长沙奥林匹克花园,［天心区-省政府］湘府中路189号
龙湾国际社区(别墅),［天心区-奥特莱斯广场］高云路
通用时代国际社区,［天心区-金盆岭］赤岭路215号
博林金谷,［天心区-铁道学院］新姚北路399号
华远华中心,［天心区-解放西路］湘江中路,近人民西路
保利花园,［天心区-省政府］湘府西路229号
湘江锦绣,［天心区-南郊公园］猴子石路128号
山水印象,［天心区-暮云］芙蓉南路四段1111号
富景园,［天心区-芙蓉南路］时代阳光大道西99号
克拉美丽山庄,［天心区-省政府］友谊路958号
中信文化广场雅居,［天心区-友阿奥特莱斯］中意一路
五矿紫湖香醍,［天心区-暮云］高云路,近月塘路
德泽苑,［天心区-省政府］芙蓉南路四段158号
鑫远湘府华城,［天心区-友谊路］新韶东路168号
绿地公馆,［天心区-天心区政府］芙蓉南路二段88号
鑫远和城,［天心区-友阿奥特莱斯］芙蓉南路
升远君尚嘉筑,［天心区-省政府］刘家冲中路
保利阆峰云墅,［天心区-暮云］芙蓉南路
钱隆樽品,［天心区-浦沅］芙蓉中路三段600号
万科紫台,［天心区-新开铺］湘江南路
五矿格澜郡,［天心区-暮云］万家丽南路
银桂苑,［天心区-新省政府南］新姚南路369号
金碧文华,［天心区-金盆岭］赤岭路348号
九峰小区,［天心区-芙蓉南路］新姚南路169号
长大彩虹都,［天心区-林科大］芙蓉南路一段470号
剑桥名门,［天心区-铁道学院］芙蓉南路
幸福庄园,［天心区-暮云］芙蓉南路四段1129号
中建芙蓉和苑,［天心区-芙蓉南路］芙蓉南路二段229号
荣悦台,［天心区-黄土岭］黄土岭路188号
碧桂园城市花园,［天心区-芙蓉南路］刘家冲南路599号
