绿城青竹园,［开福区-四方坪］青竹湖路222号
恒大雅苑,［开福区-广电中心］万家丽北路一段699号
湘江世纪城融江苑,［开福区-湘江世纪城］湘江北路
藏珑湖上国际花园,［开福区-广电中心］洪山路188号
湘江豪庭,［开福区-湘江世纪城］华章路
万国城MOMA(三期),［开福区-开福区政府］福元西路199号
湘江世纪城悦江苑,［开福区-湘江世纪城］湘江北路
湘江壹号,［开福区-伍家岭］创远路1号
北辰定江洋,［开福区-北辰三角洲］湘江北路三段
万达公馆,［开福区-万达广场］湘江中路
金色比华利,［开福区-广电中心］三一大道500号
金帆小区,［开福区-四方坪］德雅路1420号
湘江世纪城咏江苑,［开福区-湘江世纪城］湘江北路
湘江世纪城揽江苑,［开福区-湘江世纪城］湘江北路
湘江世纪城临江苑,［开福区-湘江世纪城］湘江北路
第一湾,［开福区-四方坪］车站北路919号
银宏小区,［开福区-伍家岭］捞建路
才子佳苑,［开福区-四方坪］德雅路1191号
北辰三角洲奥城D3区,［开福区-北辰三角洲］秋月路
万科城(三期),［开福区-开福区政府］洪山西路,近福元西路
珠江郦城,［开福区-开福区政府］福元西路99号
湘江世纪城映江苑,［开福区-湘江世纪城］湘江北路
堤亚纳湾,［开福区-黑石渡］北二环一段169号
威尔士春天,［开福区-广电中心］万家丽北路212号
金色溪泉湾,［开福区-广电中心］听泉路199号
金鹰城圣爵菲斯,［开福区-广电中心］金鹰路
卧琥城,［开福区-广电中心］万家丽北路二段368号
山语城(二期),［开福区-山语城］芙蓉北路386号
双湾国际,［开福区-开福区政府］双湾路69号
北辰三角洲E5区,［开福区-北辰三角洲］黄兴北路
滨江君悦香邸,［开福区-伍家岭］伍家岭路19号
富湾国际,［开福区-湘江世纪城］金泰路199号
湘江世纪城望江苑,［开福区-湘江世纪城］湘江北路
复地崑玉国际,［开福区-湘江中路］湘江中路一段160号
海洋半岛,［开福区-四方坪］东二环,近栖凤路
北辰三角洲E3区,［开福区-北辰三角洲］湘江北路
湘江世纪城瑞江苑,［开福区-湘江世纪城］湘江北路
华盛新外滩,［开福区-湘江中路］湘江大道288号
水映加州,［开福区-开福周边］太阳山路688号
福晟钱隆世家,［开福区-开福区政府］兴联路360号
青竹湖畔,［开福区-伍家岭］青竹湖路
御景龙城(别墅),［开福区-广电中心］山月路
天健芙蓉盛世,［开福区-伍家岭］芙蓉中路88号
绿地海外滩,［开福区-开福周边］高冲路8号
万煦园,［开福区-四方坪］丽臣路287号
山语城(一期),［开福区-山语城］秀峰路
万科城(一期),［开福区-开福区政府］洪山西路,近福元西路
万国城MOMA(一期),［开福区-开福区政府］福元西路199号
潮宗御苑,［开福区-万达广场］营盘西路6号
楚天逸品,［开福区-开福区政府］湘江北路三段48号
左岸春天,［开福区-四方坪］双拥路216号
湘江世纪城赏江苑,［开福区-湘江世纪城］湘江北路
听香水榭,［开福区-四方坪］栖凤路
顺天黄金海岸,［开福区-马厂］福城路108号
极目楚天,［开福区-山语城］芙蓉北路
时代先锋,［开福区-四方坪］四方坪98号
五一中央领御,［开福区-万达广场］五一西路936号
凯乐国际城,［开福区-湘江中路］湘江中路一段52号
湘江世纪城贯江苑,［开福区-湘江世纪城］湘江北路
天健壹平方英里,［开福区-伍家岭］芙蓉中路一段88号
公园九号,［开福区-省博物馆］东风路57号
先锋水韵花都,［开福区-马厂］福城路49号
青青家园,［开福区-四方坪］双拥路301号
英祥春天,［开福区-开福区政府］福元西路220号
科大佳园北苑,［开福区-四方坪］双拥路
五矿沁园金城,［开福区-开福区政府］福元西路,近双河路
四方小区,［开福区-四方坪］双拥路158号
世纪春天,［开福区-开福区政府］网船班路10号
湘江世纪城鸿江苑,［开福区-湘江世纪城］湘江北路
湘江世纪城达江苑,［开福区-湘江世纪城］湘江北路
美利新世界,［开福区-四方坪］福元中路66号
恒鑫澜北湾,［开福区-开福区政府］盛世路249号
湘江北尚,［开福区-伍家岭］芙蓉北路148号
珠江花城锦里,［开福区-开福区政府］福元西路99号
山语城(三期),［开福区-山语城］秀峰路69号
恒大御景半岛(一期),［开福区-开福区政府］湘江北路三段1388号
幸福考拉,［开福区-开福区政府］植基路79号
洪山家园,［开福区-四方坪］福元西路586号
湘江世纪城聚江苑,［开福区-湘江世纪城］湘江北路
四季美景,［开福区-四方坪］双拥路
名富公寓,［开福区-伍家岭］芙蓉中路一段198号
才子佳苑二区,［开福区-四方坪］德雅路
珠江花城扶水岸,［开福区-开福区政府］福元西路99号
万科城(二期B区),［开福区-开福区政府］洪山西路,近福元西路
维一星城原山苑,［开福区-广电中心］共和路277号
湘诚德峰小区(A区),［开福区-开福区政府］芙蓉北路,近新安路
学府华庭,［开福区-广电中心］山月路299号
景香苑,［开福区-马厂］金龙路
香樟雅郡,［开福区-四方坪］学堂园路189号
上城金都,［开福区-松桂园］黄兴北路89号
四季阳光花城,［开福区-烈士公园］东风路9号
兰亭峰景,［开福区-四方坪］车站北路306号
世方水岸,［开福区-四方坪］双拥路
四季美景水木轩,［开福区-四方坪］双拥路88号
悦湖山,［开福区-广电中心］福元中路东段388号
湖南财富中心,［开福区-松桂园］芙蓉中路一段468号
万科城(二期A区),［开福区-开福区政府］洪山西路,近福元西路
湘江世纪城星江苑,［开福区-湘江世纪城］湘江北路
归心苑,［开福区-广电中心］万家丽北路一段859号
财富名园,［开福区-三一大道］万家丽北路二段18号
广福园,［开福区-马厂］落刀嘴118号
少帅府,［开福区-中山亭］教育街8号
福天月畔湾,［开福区-广电中心］万家丽北路一段988号
福乐香江锦城,［开福区-松桂园］芭茅洲巷68号
月湖兰庭,［开福区-广电中心］万家丽北路一段899号
盛世荷园小区,［开福区-蔡锷北路］荷花池11号
大地金墅,［开福区-湘江中路］湘江中路一段168号
金鹰小区,［开福区-广电中心］北大营东路22-14号
雅居乐花园,［开福区-开福区政府］湘江北路二段65号
东风一村,［开福区-东风村］七条巷115号
瑞都豪庭,［开福区-四方坪］陡岭路180号
星尚公寓,［开福区-四方坪］双拥路179号
通华天都,［开福区-四方坪］车站北路649号
群芳园小区,［开福区-伍家岭］开福寺路39号
锦绣华天,［开福区-伍家岭］芙蓉北路206号
北辰三角洲奥城D2区,［开福区-北辰三角洲］湘江北路
长沙市开福区教师村,［开福区-四方坪］黑石渡路
省社会科学院宿舍,［开福区-四方坪］浏河村巷
蚌塘社区,［开福区-四方坪］蚌塘街
湘江世纪城豪江苑,［开福区-湘江世纪城］湘江北路
堤亚纳湾(别墅),［开福区-开福区政府］北二环一段169号
新家园,［开福区-车站北路］车站北路394号
