明昇壹城,［雨花区-体育新城］劳动东路821号
万科魅力之城,［雨花区-体育新城］劳动东路1299号
中城丽景香山,［雨花区-劳动中路］万家丽中路二段239号
德馨园,［雨花区-香樟路］洞井路
新城新世界,［雨花区-树木岭］劳动东路139号
阳光城尚东湾,［雨花区-体育新城］长沙大道789号
万科金域华府,［雨花区-雨花区政府］万家丽中路539号
京武浪琴山,［雨花区-体育新城］劳动东路
嘉华城,［雨花区-汽车南站］汇金路777号
香樟兰亭,［雨花区-雨花区政府］圭塘路,近香樟路
中航城国际社区(北区),［雨花区-汽车南站］时代阳光大道489号
第六都,［雨花区-雨花亭］芙蓉中路三段569号
融科东南海,［雨花区-香樟路］香樟路469号
新星小区,［雨花区-树木岭］圭塘路139号
运达中央广场,［雨花区-体育新城］沙湾路289号
中航城国际社区(北区别墅),［雨花区-时代阳光大道］时代阳光大道489号
上海城,［雨花区-韶山南路］韶山南路633号
中隆国际御玺,［雨花区-体育新城］古曲路188号
绿城桂花城,［雨花区-体育新城］长沙大道508号
五矿万境水岸嘉苑,［雨花区-红星］圭塘路
鄱阳小区,［雨花区-汽车南站］汇金路199号
恒生碧水龙庭,［雨花区-时代阳光大道］万家丽南路一段226号
恒大绿洲,［雨花区-体育新城］劳动东路820号
五矿万境蓝山,［雨花区-汽车南站］黄谷路
万博汇(二期),［雨花区-雨花亭］韶山中路495号
颐和佳园,［雨花区-汽车南站］金海路
佳兆业水岸新都(东区),［雨花区-汽车南站］石燕湖路
江河双水湾,［雨花区-体育新城］沙湾路1088号
弘欣公寓,［雨花区-汽车南站］万芙南路180号
名都花园,［雨花区-赤岗冲］曙光中路537号
雅致名园,［雨花区-雨花区政府］香樟东路196号
华盛世纪新城,［雨花区-红星］湘府东路二段308号
茂华国际湘,［雨花区-体育新城］古曲南路198号
恒大城,［雨花区-汽车南站］时代阳光大道260号
景环小区,［雨花区-汽车南站］兴安路126号
碧桂园南城首府,［雨花区-时代阳光大道］时代阳光大道513号
宏聚地中海,［雨花区-时代阳光大道］时代阳光大道
欧莱雅郡,［雨花区-汽车南站］时代阳光大道
托斯卡纳,［雨花区-红星］湘府东路二段28号
星城映象,［雨花区-体育新城］沙湾路308号
白沙湾嘉园,［雨花区-体育新城］曲塘路735号
阳光锦城,［雨花区-雨花亭］新建东路35号
书香名邸,［雨花区-左家塘］车站南路471号
西子花苑,［雨花区-高桥］马王堆南路79号
泊爱蓝湾,［雨花区-高桥］嘉雨路488号
尊邸华庭,［雨花区-树木岭］劳动中路589号
翡翠云天,［雨花区-红星］万家丽中路399号
红墅湾,［雨花区-新星小区］曲塘路579号
融圣国际,［雨花区-人民路］人民中路568号
佳兆业君汇上品,［雨花区-雨花周边］石燕湖路
美洲故事,［雨花区-红星］万家丽中路三段189号
融城花苑,［雨花区-井湾子］井湾路528号
亚华香舍花都,［雨花区-东塘］劳动东路61号
新里程潇湘名城,［雨花区-雨花区政府］万家丽路295号
融科檀香山,［雨花区-体育新城］长沙大道589号
金房万树丹堤,［雨花区-香樟路］香樟路778号
半山壹号,［雨花区-新星小区］沙湾路9号
水岸天际,［雨花区-洞井铺］湘府东路108号
融科三万英尺,［雨花区-雨花亭］韶山中路488号
