恒大名都,［望城区-金星北大道］普瑞大道
澳海澜庭,［望城区-金星北大道］银星路999号
中粮北纬28度,［望城区-雷锋大道北］雷锋大道,近普瑞大道
盈峰翠邸,［望城区-金星北大道］金星北路四段229号
时代倾城(一期),［望城区-金星北大道］银星路
盈峰翠邸(别墅),［望城区-金星北大道］金星北路四段229号
山水英伦庄园,［望城区-金星北大道］正兴路118号
悦禧国际山庄(别墅),［望城区-雷锋大道北］雷锋大道,近黄金东路
润和紫郡,［望城区-雷锋大道北］黄金东路,近普瑞大道
勤诚达新界,［望城区-金星北大道］金星北路
长沙玫瑰园,［望城区-金星北大道］金星北路
明发国际城,［望城区-金星北大道］金星北路,近月亮岛路
南山苏迪亚诺,［望城区-金星北大道］金星北路三段399号
金地三千府,［望城区-金星北大道］雷锋大道,近银星路
龙湖湘风原著,［望城区-金星北大道］金星大道
新地东方明珠(三期),［望城区-金星北大道］金星大道209号
嘉宇银杉,［望城区-金星北大道］银杉路,近金潇路
新地东方明珠(一二期),［望城区-金星北大道］金星大道209号
绿地香树花城,［望城区-雷锋大道北］马桥河路,近同心路
时代倾城二期,［望城区-金星北大道］金星北路208号
才子城,［望城区-雷锋大道北］高塘岭大道
富基世纪公园丹桂园,［望城区-雷锋大道北］普瑞大道二段888号
晟通城,［望城区-望城新区政府］金星路109号
玛丽的花园,［望城区-金星北大道］金潇路,近金星北路
名家翡翠花园,［望城区-金星北大道］金星北路
澳海谷山府,［望城区-雷锋大道北］澳海路
中新森林海,［望城区-望城新区政府］雷锋大道
浩龙音乐界,［望城区-金星北大道］金星北路
三润城,［望城区-金星北大道］月亮岛路,近谷山路
裕田奥莱小镇(别墅),［望城区-雷锋大道北］雷锋大道558号
长燃新奥佳园,［望城区-金星北大道］普瑞大道
金地自在城,［望城区-雷锋大道北］雷锋大道
金泽园小区,［望城区-望城新区政府］黄金中路
荣盛岳麓峰景,［望城区-金星北大道］黄金西路,近东方红路
联诚国际城,［望城区-望城新区政府］高塘岭大道
勤诚达境界城,［望城区-金星北大道］银杉路,近普瑞大道
大汉汉园,［望城区-金星北大道］雷锋大道999号
正荣财富中心(南区),［望城区-雷锋大道北］望府路
百合湖滨,［望城区-望城新区政府］文源路188号
万业巴厘岛(别墅),［望城区-雷锋大道北］太阳山路
山水英伦庄园(别墅),［望城区-金星北大道］正兴路118号
大汉汉园(别墅),［望城区-雷锋大道北］雷锋大道999号
长沙玫瑰园(别墅),［望城区-金星北大道］金星北路
金湘苑小区,［望城区-雷锋大道北］黄金东路
新城国际花都D区,［望城区-金星北大道］雷锋大道,金圆路
尚公馆,［望城区-金星北大道］金星大道508号
盛腾学林西岸,［望城区-金星北大道］盛腾路
山水蓝天,［望城区-雷锋大道北］航空路1号
润和之悦,［望城区-雷锋大道北］普瑞大道
湘路家园,［望城区-雷锋大道北］金星北路
乾源国际广场公寓,［望城区-金星北大道］银星路,近金星北路
润和长郡,［望城区-金星北大道］黄金东路,近月亮岛路
景城苑,［望城区-望城新区政府］新塘路
金桥国际,［望城区-雷锋大道北］普瑞大道188号
润和又一城一期,［望城区-金星北大道］金星北路
双盈卧龙湾,［望城区-金星北大道］金星北路305号
润和又一城二期,［望城区-金星北大道］月亮岛路
时代年华,［望城区-金星北大道］雷锋大道,近黄金大道
太阳城,［望城区-月亮岛］普瑞大道,近银杉路
新城国际花都E区,［望城区-金星北大道］雷锋大道,近吴家冲路
中鼎江岸花城,［望城区-望城新区政府］郭亮北路70号
润和长郡(二期),［望城区-金星北大道］月亮岛路
裕田奥莱小镇,［望城区-雷锋大道北］雷锋大道558号
星月绿洲,［望城区-金星北大道］普瑞大道
龙湖湘风原著(别墅),［望城区-金星北大道］银星路
新雅黄金苑,［望城区-金星北大道］雷锋大道
兴邦花城,［望城区-望城新区政府］杨水塘路
富基世纪公园桃园,［望城区-金星北大道］普瑞大道二段888号
金地三千府(别墅),［望城区-金星北大道］雷锋大道
新城国际花都A区,［望城区-雷锋大道北］雷锋大道
观龙湖,［望城区-雷锋大道北］雷锋大道
紫鑫御湖湾,［望城区-望城新区政府］文源东路
中南三村,［望城区-望城新区政府］郭亮中路
中粮自然天城,［望城区-金星北大道］雷锋大道
新华联铜官窑古镇,［望城区-望城新区政府］湘江大道景观段
山与墅,［望城区-金星北大道］金星北路221号
